ZPRODH31;ZPRODH31_TXT
102220470001700;Труба профильная 160x160x5
102220470001800;Труба профильная 160x160x5.5
102220470001900;Труба профильная 160x160x6
102220470002000;Труба профильная 160x160x6.5
102220470002100;Труба профильная 160x160x7
102220470002200;Труба профильная 160x160x7.5
102220470002300;Труба профильная 160x160x8
102230120001300;Труба профильная НЛГ 70х70х3
102230120001700;Труба профильная НЛГ 70х70х5
102230120001900;Труба профильная НЛГ 70х70х6
102230130001300;Труба профильная НЛГ 80х40х3
102230130001500;Труба профильная НЛГ 80х40х4
102230130001700;Труба профильная НЛГ 80х40х5
102230150001300;Труба профильная НЛГ 80х60х3
102230150001500;Труба профильная НЛГ 80х60х4
102230150001700;Труба профильная НЛГ 80х60х5
102230150001900;Труба профильная НЛГ 80х60х6
102230160001300;Труба профильная НЛГ 80х80х3
102230160001500;Труба профильная НЛГ 80х80х4
102230160001700;Труба профильная НЛГ 80х80х5
102230160001900;Труба профильная НЛГ 80х80х6
102230160002300;Труба профильная НЛГ 80х80х8
102230220001300;Труба профильная НЛГ 100х50х3
102230220001500;Труба профильная НЛГ 100х50х4
102230220001700;Труба профильная НЛГ 100х50х5
102230220001900;Труба профильная НЛГ 100х50х6
102230230001500;Труба профильная НЛГ 100х60х4
102230230001700;Труба профильная НЛГ 100х60х5
102230230001900;Труба профильная НЛГ 100х60х6
102230250001300;Труба профильная НЛГ 100х100х3
102230250001500;Труба профильная НЛГ 100х100х4
102230250001700;Труба профильная НЛГ 100х100х5
102230250001800;Труба профильная НЛГ 100х100х5.5
102230250001900;Труба профильная НЛГ 100х100х6
102230250002100;Труба профильная НЛГ 100х100х7
102230250002300;Труба профильная НЛГ 100х100х8
102230250002700;Труба профильная НЛГ 100х100х10
102230280001500;Труба профильная НЛГ 120х60х4
102230280001700;Труба профильная НЛГ 120х60х5
102230290001500;Труба профильная НЛГ 120х80х4
102230290001700;Труба профильная НЛГ 120х80х5
102230290001900;Труба профильная НЛГ 120х80х6
102230290002300;Труба профильная НЛГ 120х80х8
102230310001300;Труба профильная НЛГ 120х120х3
102230310001450;Труба профильная НЛГ 120х120х3.7
102230310001500;Труба профильная НЛГ 120х120х4
102230310001600;Труба профильная НЛГ 120х120х4.5
102230310001700;Труба профильная НЛГ 120х120х5
102230310001800;Труба профильная НЛГ 120х120х5.5
102230310001900;Труба профильная НЛГ 120х120х6
102230310002000;Труба профильная НЛГ 120х120х6.5
102230310002100;Труба профильная НЛГ 120х120х7
102230310002300;Труба профильная НЛГ 120х120х8
102230310002700;Труба профильная НЛГ 120х120х10
102230320001300;Труба профильная НЛГ 140х60х3
102230320001700;Труба профильная НЛГ 140х60х5
102230320001900;Труба профильная НЛГ 140х60х6
102230330001700;Труба профильная НЛГ 140х80х5
102230340001500;Труба профильная НЛГ 140х100х4
102230340001700;Труба профильная НЛГ 140х100х5
102230340001900;Труба профильная НЛГ 140х100х6
102230340002100;Труба профильная НЛГ 140х100х7
102230340002300;Труба профильная НЛГ 140х100х8
102230350001500;Труба профильная НЛГ 140х120х4
102230350001900;Труба профильная НЛГ 140х120х6
102230350002200;Труба профильная НЛГ 140х120х7.5
102230350002300;Труба профильная НЛГ 140х120х8
102230360001500;Труба профильная НЛГ 140х140х4
102230360001700;Труба профильная НЛГ 140х140х5
102230360001800;Труба профильная НЛГ 140х140х5.5
102230360001900;Труба профильная НЛГ 140х140х6
102230360002000;Труба профильная НЛГ 140х140х6.5
102230360002100;Труба профильная НЛГ 140х140х7
102230360002300;Труба профильная НЛГ 140х140х8
102230390001500;Труба профильная НЛГ 150х100х4
102230390001700;Труба профильная НЛГ 150х100х5
102230390001900;Труба профильная НЛГ 150х100х6
102230390002300;Труба профильная НЛГ 150х100х8
102230410001700;Труба профильная НЛГ 150х150х5
102230410001900;Труба профильная НЛГ 150х150х6
102230410002100;Труба профильная НЛГ 150х150х7
102230410002300;Труба профильная НЛГ 150х150х8
102230410002700;Труба профильная НЛГ 150х150х10
102230415001700;Труба профильная НЛГ 160х60х5
102230420001500;Труба профильная НЛГ 160х80х4
102230420001700;Труба профильная НЛГ 160х80х5
102230420001900;Труба профильная НЛГ 160х80х6
102230420002300;Труба профильная НЛГ 160х80х8
102230450001450;Труба профильная НЛГ 160х120х3.7
102230450001500;Труба профильная НЛГ 160х120х4
102230450001700;Труба профильная НЛГ 160х120х5
102230450001800;Труба профильная НЛГ 160х120х5.5
102230450001900;Труба профильная НЛГ 160х120х6
102230450002100;Труба профильная НЛГ 160х120х7
102230450002300;Труба профильная НЛГ 160х120х8
102230460001700;Труба профильная НЛГ 160х140х5
102230460001900;Труба профильная НЛГ 160х140х6
102230460002100;Труба профильная НЛГ 160х140х7
102230460002300;Труба профильная НЛГ 160х140х8
102230470001500;Труба профильная НЛГ 160х160х4
102230470001700;Труба профильная НЛГ 160х160х5
102230470001800;Труба профильная НЛГ 160х160х5.5
102230470001900;Труба профильная НЛГ 160х160х6
102230470002000;Труба профильная НЛГ 160х160х6.5
102230470002100;Труба профильная НЛГ 160х160х7
102230470002200;Труба профильная НЛГ 160х160х7.5
102230470002300;Труба профильная НЛГ 160х160х8
102240110001300;Труба профильная 180x60x4
102240120001500;Труба профильная 180x80x5
102240120001900;Труба профильная 180x80x7
102240130001300;Труба профильная 180x100x4
102240130001500;Труба профильная 180x100x5
102240130001700;Труба профильная 180x100x6
102240130001900;Труба профильная 180x100x7
102240130002100;Труба профильная 180x100x8
102240140001700;Труба профильная 180x120x6
102240150001300;Труба профильная 180x140x4
102240150001500;Труба профильная 180x140x5
102240150001600;Труба профильная 180x140x5.5
102240150001700;Труба профильная 180x140x6
102240150001900;Труба профильная 180x140x7
102240150002000;Труба профильная 180x140x7.5
102240150002100;Труба профильная 180x140x8
102240170001300;Труба профильная 180x180x4
102240170001500;Труба профильная 180x180x5
102240170001600;Труба профильная 180x180x5.5
102240170001700;Труба профильная 180x180x6
102240170001900;Труба профильная 180x180x7
102240170002000;Труба профильная 180x180x7.5
102240170002100;Труба профильная 180x180x8
102240170002400;Труба профильная 180x180x9.5
102240170002500;Труба профильная 180x180x10
102240190001250;Труба профильная 200x100x3.7
102240190001300;Труба профильная 200x100x4
102240190001500;Труба профильная 200x100x5
102240190001600;Труба профильная 200x100x5.5
102240190001700;Труба профильная 200x100x6
102240190002000;Труба профильная 200x100x7.5
102240190002100;Труба профильная 200x100x8
102240200001300;Труба профильная 200x120x4
102240200001500;Труба профильная 200x120x5
102240200001600;Труба профильная 200x120x5.5
102240200001700;Труба профильная 200x120x6
102240200002000;Труба профильная 200x120x7.5
102240200002100;Труба профильная 200x120x8
102240220001500;Труба профильная 200x150x5
102240220001900;Труба профильная 200x150x7
102240230001500;Труба профильная 200x160x5
102240230001600;Труба профильная 200x160x5.5
102240230001700;Труба профильная 200x160x6
102240230001900;Труба профильная 200x160x7
102240230002000;Труба профильная 200x160x7.5
102240230002100;Труба профильная 200x160x8
102240230002300;Труба профильная 200x160x9
102240230002500;Труба профильная 200x160x10
102240250001500;Труба профильная 200x200x5
102240250001600;Труба профильная 200x200x5.5
102240250001700;Труба профильная 200x200x6
102240250001800;Труба профильная 200x200x6.5
102240250001900;Труба профильная 200x200x7
102240250002000;Труба профильная 200x200x7.5
102240250002100;Труба профильная 200x200x8
102240250002400;Труба профильная 200x200x9.5
102240250002500;Труба профильная 200x200x10
102240250002900;Труба профильная 200x200x12
102240270001300;Труба профильная 220x100x4
102240275001300;Труба профильная 240x40x4
102240280001500;Труба профильная 240x120x5
102240280001700;Труба профильная 240x120x6
102240280002100;Труба профильная 240x120x8
102240300001700;Труба профильная 240x160x6
102240300001900;Труба профильная 240x160x7
102240300002000;Труба профильная 240x160x7.5
102240300002100;Труба профильная 240x160x8
102240300002500;Труба профильная 240x160x10
102240320001500;Труба профильная 250x150x5
102240320001700;Труба профильная 250x150x6
102240320002100;Труба профильная 250x150x8
102240320002500;Труба профильная 250x150x10
102240340001600;Труба профильная 250x250x5.5
102240340001700;Труба профильная 250x250x6
102240340001900;Труба профильная 250x250x7
102240340002000;Труба профильная 250x250x7.5
102240340002100;Труба профильная 250x250x8
102240340002500;Труба профильная 250x250x10
102240340002800;Труба профильная 250x250x11.5
102240340002900;Труба профильная 250x250x12
102240410001600;Труба профильная 300x200x5.5
102240410001700;Труба профильная 300x200x6
102240410002100;Труба профильная 300x200x8
102240410002500;Труба профильная 300x200x10
102240410002900;Труба профильная 300x200x12
102240430001600;Труба профильная 300x300x5.5
102240430001700;Труба профильная 300x300x6
102240430001900;Труба профильная 300x300x7
102240430002100;Труба профильная 300x300x8
102240430002500;Труба профильная 300x300x10
102240430002800;Труба профильная 300x300x11.5
102240430002900;Труба профильная 300x300x12
102240430003500;Труба профильная 300x300x16
102240450001700;Труба профильная 350x250x6
102240450002900;Труба профильная 350x250x12
102240450003100;Труба профильная 350x250x14
102250120002100;Труба профильная НЛГ 180х80х8
102250130001300;Труба профильная НЛГ 180х100х4
102250130001500;Труба профильная НЛГ 180х100х5
102250130001700;Труба профильная НЛГ 180х100х6
102250130002100;Труба профильная НЛГ 180х100х8
102250150001300;Труба профильная НЛГ 180х140х4
102250150001500;Труба профильная НЛГ 180х140х5
102250150001600;Труба профильная НЛГ 180х140х5.5
102250150001700;Труба профильная НЛГ 180х140х6
102250150001900;Труба профильная НЛГ 180х140х7
102250150002000;Труба профильная НЛГ 180х140х7.5
102250150002100;Труба профильная НЛГ 180х140х8
102250150002500;Труба профильная НЛГ 180х140х10
102250170001500;Труба профильная НЛГ 180х180х5
102250170001600;Труба профильная НЛГ 180х180х5.5
102250170001700;Труба профильная НЛГ 180х180х6
102250170001900;Труба профильная НЛГ 180х180х7
102250170002000;Труба профильная НЛГ 180х180х7.5
102250170002100;Труба профильная НЛГ 180х180х8
102250170002300;Труба профильная НЛГ 180х180х9
102250170002400;Труба профильная НЛГ 180х180х9.5
102250170002500;Труба профильная НЛГ 180х180х10
102250170002700;Труба профильная НЛГ 180х180х11
102250170002900;Труба профильная НЛГ 180х180х12
102250180001500;Труба профильная НЛГ 200х80х5
102250190001300;Труба профильная НЛГ 200х100х4
102250190001500;Труба профильная НЛГ 200х100х5
102250190001600;Труба профильная НЛГ 200х100х5.5
102250190001700;Труба профильная НЛГ 200х100х6
102250190002000;Труба профильная НЛГ 200х100х7.5
102250190002100;Труба профильная НЛГ 200х100х8
102250200001300;Труба профильная НЛГ 200х120х4
102250200001500;Труба профильная НЛГ 200х120х5
102250200001600;Труба профильная НЛГ 200х120х5.5
102250200001700;Труба профильная НЛГ 200х120х6
102250200001900;Труба профильная НЛГ 200х120х7
102250200002100;Труба профильная НЛГ 200х120х8
102250230001500;Труба профильная НЛГ 200х160х5
102250230001600;Труба профильная НЛГ 200х160х5.5
102250230001700;Труба профильная НЛГ 200х160х6
102250230001900;Труба профильная НЛГ 200х160х7
102250230002000;Труба профильная НЛГ 200х160х7.5
102250230002050;Труба профильная НЛГ 200х160х7.7
102250230002100;Труба профильная НЛГ 200х160х8
102250230002400;Труба профильная НЛГ 200х160х9.5
102250230002500;Труба профильная НЛГ 200х160х10
102250270001500;Труба профильная НЛГ 200х200х5
102250270001600;Труба профильная НЛГ 200х200х5.5
102250270001700;Труба профильная НЛГ 200х200х6
102250270001800;Труба профильная НЛГ 200х200х6.5
102250270001900;Труба профильная НЛГ 200х200х7
102250270002000;Труба профильная НЛГ 200х200х7.5
102250270002100;Труба профильная НЛГ 200х200х8
102250270002300;Труба профильная НЛГ 200х200х9
102250270002400;Труба профильная НЛГ 200х200х9.5
102250270002500;Труба профильная НЛГ 200х200х10
102250270002800;Труба профильная НЛГ 200х200х11.5
102250270002900;Труба профильная НЛГ 200х200х12
102250280001300;Труба профильная НЛГ 240х120х4
102250280001500;Труба профильная НЛГ 240х120х5
102250280001700;Труба профильная НЛГ 240х120х6
102250280002100;Труба профильная НЛГ 240х120х8
102250280003700;Труба профильная НЛГ 240х120х16
102250300001500;Труба профильная НЛГ 240х160х5
102250300001600;Труба профильная НЛГ 240х160х5.5
102250300001700;Труба профильная НЛГ 240х160х6
102250300002000;Труба профильная НЛГ 240х160х7.5
102250300002100;Труба профильная НЛГ 240х160х8
102250300002300;Труба профильная НЛГ 240х160х9
102250300002500;Труба профильная НЛГ 240х160х10
102250300002900;Труба профильная НЛГ 240х160х12
102250320001700;Труба профильная НЛГ 250х150х6
102250320002100;Труба профильная НЛГ 250х150х8
102250340001600;Труба профильная НЛГ 250х250х5.5
102250340001700;Труба профильная НЛГ 250х250х6
102250340002000;Труба профильная НЛГ 250х250х7.5
102250340002100;Труба профильная НЛГ 250х250х8
102250340002500;Труба профильная НЛГ 250х250х10
102250340002800;Труба профильная НЛГ 250х250х11.5
102250340002900;Труба профильная НЛГ 250х250х12
102250370002100;Труба профильная НЛГ 260х130х8
102250400001700;Труба профильная НЛГ 300х100х6
102250400002100;Труба профильная НЛГ 300х100х8
102250410001600;Труба профильная НЛГ 300х200х5.5
102250410001700;Труба профильная НЛГ 300х200х6
102250410002100;Труба профильная НЛГ 300х200х8
102250410002500;Труба профильная НЛГ 300х200х10
102250410002900;Труба профильная НЛГ 300х200х12
102250430001600;Труба профильная НЛГ 300х300х5.5
102250430001700;Труба профильная НЛГ 300х300х6
102250430002100;Труба профильная НЛГ 300х300х8
102250430002500;Труба профильная НЛГ 300х300х10
102250430002800;Труба профильная НЛГ 300х300х11.5
102250430002900;Труба профильная НЛГ 300х300х12
102250430003500;Труба профильная НЛГ 300х300х16
102250450002100;Труба профильная НЛГ 350х250х8
102250490002500;Труба профильная НЛГ 400х200х10
102250490002900;Труба профильная НЛГ 400х200х12
102260110001100;Труба профильная полиэстер
102300110001100;Труба ВГП 10ДУх2
102300110001300;Труба ВГП 10ДУх2.8
102300120001100;Труба ВГП 15ДУх1.5
102300120001200;Труба ВГП 15ДУх2
102300120001300;Труба ВГП 15ДУх2.5
102300120001400;Труба ВГП 15ДУх2.8
102300120001600;Труба ВГП 15ДУх3.2
102300130001100;Труба ВГП 20ДУх2
102300130001200;Труба ВГП 20ДУх2.2
102300130001300;Труба ВГП 20ДУх2.5
102300130001400;Труба ВГП 20ДУх2.8
102300130001500;Труба ВГП 20ДУх3
102300130001600;Труба ВГП 20ДУх3.2
102300140001100;Труба ВГП 25ДУх1.2
102300140001400;Труба ВГП 25ДУх2.2
102300140001500;Труба ВГП 25ДУх2.35
102300140001600;Труба ВГП 25ДУх2.5
102300140001700;Труба ВГП 25ДУх2.8
102300140001800;Труба ВГП 25ДУх3
102300140001900;Труба ВГП 25ДУх3.2
102300140002000;Труба ВГП 25ДУх3.5
102300140002200;Труба ВГП 25ДУх4
102300150001100;Труба ВГП 32ДУх1.2
102300150001300;Труба ВГП 32ДУх2
102300150001600;Труба ВГП 32ДУх2.5
102300150001700;Труба ВГП 32ДУх2.8
102300150001800;Труба ВГП 32ДУх3
102300150001900;Труба ВГП 32ДУх3.2
102300150002000;Труба ВГП 32ДУх3.5
102300150002200;Труба ВГП 32ДУх4
102300160001100;Труба ВГП 40ДУх1.8
102300160001200;Труба ВГП 40ДУх2
102300160001400;Труба ВГП 40ДУх2.5
102300160001600;Труба ВГП 40ДУх2.8
102300160001700;Труба ВГП 40ДУх3
102300160001800;Труба ВГП 40ДУх3.2
102300160001900;Труба ВГП 40ДУх3.5
102300160002100;Труба ВГП 40ДУх4
102300170001100;Труба ВГП 50ДУх2
102300170001600;Труба ВГП 50ДУх3
102300170001700;Труба ВГП 50ДУх3.2
102300170001800;Труба ВГП 50ДУх3.5
102300170002000;Труба ВГП 50ДУх4
102300170002100;Труба ВГП 50ДУх4.5
102300175001100;Труба ВГП 57ДУх3.5
102300180001100;Труба ВГП 65ДУх3.2
102300180001200;Труба ВГП 65ДУх3.5
102300180001400;Труба ВГП 65ДУх4
102300180001500;Труба ВГП 65ДУх4.5
102300190001100;Труба ВГП 76ДУх3.5
102300200001100;Труба ВГП 80ДУх3.5
102300200001300;Труба ВГП 80ДУх4
102300200001500;Труба ВГП 80ДУх4.5
102300210001100;Труба ВГП 85ДУ
102300215001100;Труба ВГП 89ДУх3.5
102300220001100;Труба ВГП 100ДУх4
102300220001200;Труба ВГП 100ДУх4.5
102300221001100;Труба ВГП 108ДУх3.5
102300226001100;Труба ВГП 150ДУх4
102300230001100;Труба Э/С 10x2
102300240001100;Труба Э/С 12x1
102300240001500;Труба Э/С 12x1.8
102300240001700;Труба Э/С 12x2
102300250001100;Труба Э/С 14x1
102300250001200;Труба Э/С 14x1.5
102300260001100;Труба Э/С 15x2.8
102300270001100;Труба Э/С 16x1
102300270001150;Труба Э/С 16x1.2
102300270001200;Труба Э/С 16x1.5
102300270001300;Труба Э/С 16x2.5
102300280000800;Труба Э/С 18x1
102300280000900;Труба Э/С 18x1.2
102300280001000;Труба Э/С 18x1.5
102300280001100;Труба Э/С 18x2
102300285001100;Труба Э/С 19x1.5
102300290001000;Труба Э/С 20x1
102300290001100;Труба Э/С 20x1.2
102300290001200;Труба Э/С 20x1.5
102300290001300;Труба Э/С 20x2
102300290001500;Труба Э/С 20x2.8
102300300001100;Труба Э/С 21x2
102300310000900;Труба Э/С 22x1
102300310001100;Труба Э/С 22x1.5
102300320001100;Труба Э/С 25x1
102300320001200;Труба Э/С 25x1.2
102300320001300;Труба Э/С 25x1.5
102300320001400;Труба Э/С 25x2
102300320001500;Труба Э/С 25x2.5
102300320001580;Труба Э/С 25x3
102300320001600;Труба Э/С 25x3.2
102300330001100;Труба Э/С 26x2.5
102300340001100;Труба Э/С 27x1.5
102300350001100;Труба Э/С 28x1.5
102300350001200;Труба Э/С 28x2
102300350001300;Труба Э/С 28x3
102300360001100;Труба Э/С 30x1.2
102300360001200;Труба Э/С 30x1.5
102300360001300;Труба Э/С 30x2
102300360001400;Труба Э/С 30x2.5
102300370001100;Труба Э/С 32x1.2
102300370001200;Труба Э/С 32x1.5
102300370001300;Труба Э/С 32x2
102300370001350;Труба Э/С 32x2.2
102300370001400;Труба Э/С 32x2.5
102300370001500;Труба Э/С 32x2.8
102300380001100;Труба Э/С 35x1.5
102300390001100;Труба Э/С 36x1.5
102300390001200;Труба Э/С 36x2.5
102300400001100;Труба Э/С 38x1.5
102300400001200;Труба Э/С 38x2
102300400001300;Труба Э/С 38x2.5
102300400001350;Труба Э/С 38x2.8
102300400001400;Труба Э/С 38x3
102300400001500;Труба Э/С 38x3.5
102300410001100;Труба Э/С 40x1.5
102300410001120;Труба Э/С 40x2
102300410001150;Труба Э/С 40x3
102300410001200;Труба Э/С 40x3.5
102300420001100;Труба Э/С 42x1.5
102300420001200;Труба Э/С 42x2
102300420001300;Труба Э/С 42x3
102300430001100;Труба Э/С 45x1.5
102300430001200;Труба Э/С 45x2
102300430001250;Труба Э/С 45x2.2
102300430001300;Труба Э/С 45x2.5
102300430001400;Труба Э/С 45x3
102300440001100;Труба Э/С 46x7
102300450001100;Труба Э/С 48x1.5
102300450001200;Труба Э/С 48x2
102300450001300;Труба Э/С 48x2.5
102300450001400;Труба Э/С 48x3
102300450001500;Труба Э/С 48x3.5
102300460001100;Труба Э/С 51x1.5
102300460001200;Труба Э/С 51x2
102300460001210;Труба Э/С 51x2.25
102300460001300;Труба Э/С 51x2.5
102300460001400;Труба Э/С 51x3
102300470001100;Труба Э/С 52x2
102300470001200;Труба Э/С 52x2.5
102300475001100;Труба Э/С 54x2
102300480001100;Труба Э/С 56x3.5
102300490001100;Труба Э/С 57x2
102300490001200;Труба Э/С 57x2.5
102300490001300;Труба Э/С 57x2.8
102300490001400;Труба Э/С 57x3
102300490001450;Труба Э/С 57x3.15
102300490001500;Труба Э/С 57x3.2
102300490001600;Труба Э/С 57x3.5
102300490001700;Труба Э/С 57x4
102300490001720;Труба Э/С 57x5
102300490001800;Труба Э/С 57x8
102300500001100;Труба Э/С 60x2
102300500001200;Труба Э/С 60x3
102300500001350;Труба Э/С 60x3.8
102300500001400;Труба Э/С 60x4
102300500001600;Труба Э/С 60x5
102300510001100;Труба Э/С 63.5x2.5
102300520000800;Труба Э/С 76x1.5
102300520000900;Труба Э/С 76x2
102300520001000;Труба Э/С 76x2.8
102300520001100;Труба Э/С 76x3
102300520001150;Труба Э/С 76x3.2
102300520001200;Труба Э/С 76x3.5
102300520001300;Труба Э/С 76x4
102300520001400;Труба Э/С 76x4.5
102300520001500;Труба Э/С 76x5
102300530001100;Труба Э/С 89x2.8
102300530001200;Труба Э/С 89x3
102300530001250;Труба Э/С 89x3.2
102300530001300;Труба Э/С 89x3.5
102300530001350;Труба Э/С 89x3.7
102300530001400;Труба Э/С 89x4
102300530001500;Труба Э/С 89x4.5
102300530001600;Труба Э/С 89x5
102300530001700;Труба Э/С 89x6
102300530001800;Труба Э/С 89x8
102300535001500;Труба Э/С 95x5
102300540001100;Труба Э/С 100x4.5
102300550000900;Труба Э/С 102x2
102300550001050;Труба Э/С 102x2.5
102300550001100;Труба Э/С 102x2.8
102300550001200;Труба Э/С 102x3
102300550001300;Труба Э/С 102x3.2
102300550001400;Труба Э/С 102x3.5
102300550001500;Труба Э/С 102x4
102300550001600;Труба Э/С 102x4.5
102300550001700;Труба Э/С 102x5
102300550001800;Труба Э/С 102x5.5
102300560001000;Труба Э/С 108x2.5
102300560001100;Труба Э/С 108x2.8
102300560001200;Труба Э/С 108x3
102300560001300;Труба Э/С 108x3.2
102300560001400;Труба Э/С 108x3.5
102300560001500;Труба Э/С 108x4
102300560001600;Труба Э/С 108x4.5
102300560001700;Труба Э/С 108x5
102300560001800;Труба Э/С 108x5.5
102300560001900;Труба Э/С 108x6
102300560002000;Труба Э/С 108x7
102300570001000;Труба Э/С 114x3
102300570001100;Труба Э/С 114x3.5
102300570001200;Труба Э/С 114x4
102300570001300;Труба Э/С 114x4.5
102300570001400;Труба Э/С 114x5
102300570001500;Труба Э/С 114x6
102300570001600;Труба Э/С 114x8
102300575001250;Труба Э/С 120x2.5
102300575001300;Труба Э/С 120x3
102300580001100;Труба Э/С 127x3
102300580001200;Труба Э/С 127x3.5
102300580001300;Труба Э/С 127x4
102300580001400;Труба Э/С 127x4.5
102300580001500;Труба Э/С 127x5
102300580001600;Труба Э/С 127x6
102300580001800;Труба Э/С 127x8
102300590001100;Труба Э/С 133x3
102300590001200;Труба Э/С 133x3.5
102300590001250;Труба Э/С 133x3.7
102300590001300;Труба Э/С 133x4
102300590001400;Труба Э/С 133x4.5
102300590001500;Труба Э/С 133x5
102300590001600;Труба Э/С 133x6
102300590001700;Труба Э/С 133x8
102300595002000;Труба Э/С 140x5
102300600001000;Труба Э/С 146x4.5
102300600001100;Труба Э/С 146x5
102300600001200;Труба Э/С 146x6
102300600001300;Труба Э/С 146x7
102300600001400;Труба Э/С 146x8
102300605001100;Труба Э/С 152x4
102300605001200;Труба Э/С 152x5
102300610000950;Труба Э/С 159x3
102300610001000;Труба Э/С 159x3.5
102300610001050;Труба Э/С 159x3.7
102300610001100;Труба Э/С 159x4
102300610001150;Труба Э/С 159x4.2
102300610001200;Труба Э/С 159x4.5
102300610001300;Труба Э/С 159x5
102300610001400;Труба Э/С 159x5.5
102300610001500;Труба Э/С 159x6
102300610001600;Труба Э/С 159x7
102300610001700;Труба Э/С 159x8
102300610001800;Труба Э/С 159x10
102300620001000;Труба Э/С 168x4
102300620001100;Труба Э/С 168x4.5
102300620001200;Труба Э/С 168x5
102300620001300;Труба Э/С 168x6
102300620001350;Труба Э/С 168x7
102300620001400;Труба Э/С 168x8
102300620001500;Труба Э/С 168x9
102300620001600;Труба Э/С 168x10
102300630001100;Труба Э/С 194x17
102300640000800;Труба Э/С 219x3
102300640001100;Труба Э/С 219x4
102300640001200;Труба Э/С 219x4.5
102300640001300;Труба Э/С 219x5
102300640001350;Труба Э/С 219x5.5
102300640001400;Труба Э/С 219x6
102300640001500;Труба Э/С 219x7
102300640001600;Труба Э/С 219x7.5
102300640001700;Труба Э/С 219x8
102300640001750;Труба Э/С 219x9
102300640001800;Труба Э/С 219x10
102300640002000;Труба Э/С 219x14
102300760001100;Труба Э/С Ассортимент
102300760001200;Труба Э/С НЛГ Ассортимент
102300760001300;Труба Э/С изоляц Ассортимент
102300760001310;Труба Э/С НЛГ изоляц Ассортимент
102300760001400;Труба Э/С б/у Ассортимент
102300760001500;Труба Э/С НЛГ б/у Ассортимент
102300770001100;Труба ВГП Ассортимент
102310190001300;Труба Э/С НЛГ 18х2
102310310001300;Труба Э/С НЛГ 32х2
102310310001500;Труба Э/С НЛГ 32х3
102310410001600;Труба Э/С НЛГ 48х3
102310410001700;Труба Э/С НЛГ 48х4
102310440001400;Труба Э/С НЛГ 52х2.5
102310470001500;Труба Э/С НЛГ 57х3
102310470001600;Труба Э/С НЛГ 57х3.5
102310470001700;Труба Э/С НЛГ 57х4
102310470001900;Труба Э/С НЛГ 57х5
102310470002500;Труба Э/С НЛГ 57х8
102310485001400;Труба Э/С НЛГ 63.5х2.5
102310520001600;Труба Э/С НЛГ 76х3.5
102310520001700;Труба Э/С НЛГ 76х4
102310540001500;Труба Э/С НЛГ 89х3
102310540001600;Труба Э/С НЛГ 89х3.5
102310540001700;Труба Э/С НЛГ 89х4
102310540001800;Труба Э/С НЛГ 89х4.5
102310540001900;Труба Э/С НЛГ 89х5
102310540002100;Труба Э/С НЛГ 89х6
102310540002500;Труба Э/С НЛГ 89х8
102310560001500;Труба Э/С НЛГ 102х3
102310560001700;Труба Э/С НЛГ 102х4
102310570001600;Труба Э/С НЛГ 108х3.5
102310570001700;Труба Э/С НЛГ 108х4
102310570001800;Труба Э/С НЛГ 108х4.5
102310570001900;Труба Э/С НЛГ 108х5
102310570002100;Труба Э/С НЛГ 108х6
102310570002300;Труба Э/С НЛГ 108х7
102310580001700;Труба Э/С НЛГ 114х4
102310580001900;Труба Э/С НЛГ 114х5
102310580002100;Труба Э/С НЛГ 114х6
102310590001900;Труба Э/С НЛГ 127х5
102310600001700;Труба Э/С НЛГ 133х4
102310600001800;Труба Э/С НЛГ 133х4.5
102310600001900;Труба Э/С НЛГ 133х5
102310600002100;Труба Э/С НЛГ 133х6
102310600002300;Труба Э/С НЛГ 133х7
102310600002900;Труба Э/С НЛГ 133х10
102310620002100;Труба Э/С НЛГ 146х6
102310620002500;Труба Э/С НЛГ 146х8
102310640001700;Труба Э/С НЛГ 159х4
102310640001800;Труба Э/С НЛГ 159х4.5
102310640001900;Труба Э/С НЛГ 159х5
102310640002100;Труба Э/С НЛГ 159х6
102310640002300;Труба Э/С НЛГ 159х7
102310640002500;Труба Э/С НЛГ 159х8
102310650001900;Труба Э/С НЛГ 168х5
102310650002100;Труба Э/С НЛГ 168х6
102310650002300;Труба Э/С НЛГ 168х7
102310650002500;Труба Э/С НЛГ 168х8
102310650002700;Труба Э/С НЛГ 168х9
102310690001700;Труба Э/С НЛГ 219х4
102310690001900;Труба Э/С НЛГ 219х5
102310690002100;Труба Э/С НЛГ 219х6
102310690002300;Труба Э/С НЛГ 219х7
102310690002500;Труба Э/С НЛГ 219х8
102310690002700;Труба Э/С НЛГ 219х9
102310690002900;Труба Э/С НЛГ 219х10
102320120001500;Труба Э/С 273x5
102320120001700;Труба Э/С 273x6
102320120001900;Труба Э/С 273x7
102320120002100;Труба Э/С 273x8
102320120002300;Труба Э/С 273x9
102320120002500;Труба Э/С 273x10
102320130001500;Труба Э/С 325x5
102320130001600;Труба Э/С 325x5.5
102320130001700;Труба Э/С 325x6
102320130001800;Труба Э/С 325x6.5
102320130001900;Труба Э/С 325x7
102320130002100;Труба Э/С 325x8
102320130002300;Труба Э/С 325x9
102320130002500;Труба Э/С 325x10
102320130002700;Труба Э/С 325x12
102320150001500;Труба Э/С 377x5
102320150001700;Труба Э/С 377x6
102320150001900;Труба Э/С 377x7
102320150002100;Труба Э/С 377x8
102320150002300;Труба Э/С 377x9
